formula_id,formula_name_vi,formula_category,object,function,indications,usage,data_source
F016,Lý trung thang,Thuốc ôn trung tán hàn,"Các bệnh do trung tiêu lạnh gây ra, sôi bụng , tiêu chảy cấp hoặc mạn tính",Ôn trung kiện tỳ,"Tỳ dương hư gây ra chán ăn, đầy bụng, tiêu chảy mạn tính","Sắc văn hỏa. Uống ấm mỗi ngày 1 thang, có thể chế hoàn, mỗi ngày uống 20-30g","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 124"
F017,Tứ thần hoàn,Thuốc ôn trung tán hàn,"Các bệnh do trung tiêu lạnh gây ra, sôi bụng , tiêu chảy cấp hoặc mạn tính",Ấm thận trừ hàn,"Tỳ thận dương hư gây ra tiêu chảy mạn tính, ngũ canh tả",Chế dạng hoàn. Mỗi ngày uống 20-30g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 124"
F018,,Thuốc ôn trung tán hàn,"Các bệnh do trung tiêu lạnh gây ra, sôi bụng , tiêu chảy cấp hoặc mạn tính",Ôn trung tán hàn,"Trung tiêu thực hàn gây ra đầy bụng, tiêu chảy",Tán thành bột thô. Hăm bằng nước sỏi chia thành nhiều lần uống trong ngày,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 125"
F019,Nhị trần thang,Thuốc hóa đờm,"Các chứng bệnh do đởm gây ra (viêm phổi, viêm phế quản, đau thần kinh ngoại biên, hôn mê...)","Ôn hóa đờm hàn, chỉ ho","Đờm hàn gây ra nôn, đầy trướng bụng, ho nhiều, đờm loãng (viêm phế quản....)",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 125"
F020,Thanh nhiệt hóa đàm thang,Thuốc hóa đờm,"Các chứng bệnh do đởm gây ra (viêm phổi, viêm phế quản, đau thần kinh ngoại biên, hôn mê...)","Thanh hóa đởm nhiệt,chỉ ho","Ho có đờm nhiệt (viêm phế quản, viêm họng...)",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 125"
F021,Chỉ thấu tán,Thuốc chỉ ho (chỉ khái),Chứng ho do nhiều nguyên nhân khác nhau,Hóa đờm chỉ ho,"Ho có nhiều đờm loãng (viêm phế quản, viêm họng)","Tán thành bột mịn. Mỗi ngày uống 30-45, chia 3 lần","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 126"
F022,Hạnh tô tán,Thuốc chỉ ho (chỉ khái),Chứng ho do nhiều nguyên nhân khác nhau,Hóa đờm chỉ ho,"Ho do phế bàn, đờm loãng (viêm phế quản, viêm họng....)","Tán thành bột mịn. Mỗi ngày uống 30-60, chia 3 lần","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 126"
F023,Bách hợp cố kim thang,Thuốc chỉ ho (chỉ khái) / Thuốc bổ âm,Chứng ho do nhiều nguyên nhân khác nhau,"Bổ phế âm, sinh tân dịch chỉ ho","Ho kéo dài do phế âm hư (ho khan, ho có đờm đặc), khát nước","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Người đang tiêu chảy không nên dùng. Cho thêm 3 lát gừng tươi sắc cùng thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 126 - 127"
F024,Lục quân tử thang,Thuốc chỉ ho (chỉ khái),Chứng ho do nhiều nguyên nhân khác nhau,Bổ khí hóa đờm chỉ ho,Ho do khí hư đờm thấp (viêm phế quản mạn tính),Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 127"
F025,Thiên ma cầu đằng thang,Thuốc bình can tắt phong,Trị chứng can phong nội động,Bình can tắt phong hạ áp,"Tăng huyết áp, can hỏa vượng đau đầu, chóng mặt","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Người đang rối loạn tiêu hóa cần dùng thận trọng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 127-128"
F026,,Thuốc bình can tắt phong,Trị chứng can phong nội động,"Bình can, thanh can hạ áp","Can hỏa vượng gây ra đau đầu, chóng mặt (tăng huyết áp, rối loạn thần kinh thực vật)","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Người đang rối loạn tiêu hóa dùng thận trọng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 128"
F027,An thần hoàn,Thuốc trọng trấn an thần,"Các chứng bệnh do can hỏa vượng gây ra: chống mặt, đau đầu , mặt đỏ, đau mắt đỏ....","Trấn tâm an thần, thanh tâm nhiệt","Tâm nhiệt gây ra khó ngủ, ngủ ít, hồi hộp, nóng vùng tim",Chế hoàn. Mỗi ngày uống 4-6g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 128"
F028,Thiên vương bổ tâm đan,Thuốc dưỡng tâm an thần,"Các chứng bệnh do tâm âm hư, tâm huyết hư gây ra khó ngủ, ngủ ít, ngủ không sâu, hồi hộp, nhịp tim nhanh",Dưỡng âm sinh tân dịch an thần,"Chứng âm hư nội nhiệt gây ra mất ngủ, hồi hộp, nhịp tim nhanh, háo khát nước","Chế hoàn. Mỗi ngày uống 30-60g
Chú ý: Người đang rối loạn tiêu hóa dùng thận trọng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 129"
F029,Quy tỳ thang,Thuốc trọng trấn an thần / Thuốc bổ khí,"Các chứng bệnh do tâm âm hư, tâm huyết hư gây ra khó ngủ, ngủ ít, ngủ không sâu, hồi hộp, nhịp tim nhanh","Kiện tỳ, an thần","Chứng tỳ dương hư gây ra chán ăn, đầy bụng, ít ngủ, ngủ khó",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 129"
F030,,Thuốc dưỡng tâm an thần,"Các chứng bệnh do tâm âm hư, tâm huyết hư gây ra khó ngủ, ngủ ít, ngủ không sâu, hồi hộp, nhịp tim nhanh",Bổ huyết an thần,"Chứng huyết hư gây ra mất ngủ, hồi hộp, hoảng sợ",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 129"
F031,Lục vị địa hoàng thang gia vị,Thuốc trọng trấn an thần,"Các chứng bệnh do tâm âm hư, tâm huyết hư gây ra khó ngủ, ngủ ít, ngủ không sâu, hồi hộp, nhịp tim nhanh","Bổ can thận âm, giáng hỏa an thần","Chứng can thận âm hư gây ra hư hỏa, hồi hộp mất ngủ, đau mỏi lưng gối, di tinh, hoạt tính",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 130"
F032,Đinh hương thị đế thang,Thuốc phá khí giáng nghịch,"Các chứng bệnh do khí nghịch gây ra như: phế khí nghịch (hen phế quản) vị khí nghịch (nôn, nấc), phế khí trệ gây ra khó thở, tức ngực",Ôn trung giáng khí,Nấc do tỳ vị hư hàn,Sắc vũ hỏa,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 130"
F033,Tô tử giáng khí thang,Thuốc phá khí giáng nghịch,"Các chứng bệnh do khí nghịch gây ra như: phế khí nghịch (hen phế quản) vị khí nghịch (nôn, nấc), phế khí trệ gây ra khó thở, tức ngực","Giáng khí bình suyễn, hóa đởm, chỉ nôn","Hen phế quản cấp, đầy chướng bụng, nôn",Sắc vũ hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 130"
F034,Đại bán hạ thang,Thuốc hành khí giải uất,"Các chứng bệnh do khí trệ, khí uất như đầy bụng, ly trực khuẩn, tê bì, rối loạn kinh nguyệt",Bổ trung khí giáng nghịch,"Ăn chậm tiêu, đầy chướng bụng gây nôn",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 131"
F035,Ô dược thang gia vị,Thuốc hành khí giải uất,"Các chứng bệnh do khí trệ, khí uất như đầy bụng, ly trực khuẩn, tê bì, rối loạn kinh nguyệt",Hành khí giải uất chỉ thống,"Khí trệ gây ra đau bụng, thống kinh",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 131"
F036,,Thuốc hành khí giải uất,"Các chứng bệnh do khí trệ, khí uất như đầy bụng, ly trực khuẩn, tê bì, rối loạn kinh nguyệt","Hành khí, hóa thấp ôn trung","Trung tiểu hàn trệ gây đầy chướng bụng, tiêu chảy",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 131"
F037,Huyết phủ trục ứ thang,Thuốc phá huyết,"Các chứng bệnh do huyết ứ trệ sinh ra như: bế kinh , tắc mạch máu, trấn thương tụ huyết","Phá huyết, tiêu ứ, thông kinh","Huyết ứ trê ở tạng phủ, bế kinh, trấn thương tụ huyết, tắc mạch máu","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Không được dùng cho những trường hợp sau: phụ nữ có thai, các trường hợp đang chảy máu","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 132"
F038,Sinh hóa thang,Thuốc hoạt huyết,"Các chứng bệnh do huyết trệ sinh ra như: các chứng sưng đau do viêm nhiễm, co thất mạch máu, viêm tắc mạch máu, dị ứng ban chấn, thống kinh, cao huyết áp","Hoạt huyết, ôn kinh, chỉ thống","Thống kinh, phụ nữ sau đẻ có huyết ứ gây đau bụng",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 132"
F039,Thuốc điều kinh,Thuốc hoạt huyết,"Các chứng bệnh do huyết trệ sinh ra như: các chứng sưng đau do viêm nhiễm, co thất mạch máu, viêm tắc mạch máu, dị ứng ban chấn, thống kinh, cao huyết áp",Hoạt huyết điều kinh,"Kinh nguyệt khồng đều, vòng kinh dài, bế kinh",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 132"
F040,Tứ sinh hoàn,Thuốc lương huyết chỉ huyết,"Các chứng bệnh od huyết nhiệt như: sốt cao, chảy máu, chảy máu cam, kinh nguyệt nhiều......",Lương huyết chỉ huyết,"Huyết nhiệt gây ra xuất huyết: chảy máu cam, nôn ra máu, sốt cao chảy máu",Sắc văn hỏa. Uống nguội. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 133"
F041,Hoàng thổ thang,Thuốc kiện tỳ nhiếp huyết,"Các chứng bệnh do tỳ hư, khí hư gây xuất huyết như: xuất huyết tiêu hóa, rong kinh, rong huyết",Ôn dương kiện tỳ chỉ huyết,"Xuất huyết: đại tiện ra máu, nôn ra máu, phụ nữ băng huyết gây trụy tim mạch",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 133"
F042,Hòe hoa tán,Thuốc lương huyết chỉ huyết,"Các chứng bệnh od huyết nhiệt như: sốt cao, chảy máu, chảy máu cam, kinh nguyệt nhiều......",Lương huyết chỉ huyết,"Tiểu tiện ra máu, đại tiện ra máu",Chế bột. Mỗi ngày uống 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 133"
F043,Ngũ linh tán,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu","Ôn biểu, kiện tỳ lợi thấp","Phong hàn phạm biểu thấp trệ gây phù nể, viêm cầu thận cấp, tiểu bí, khó",Chế bột. Mỗi ngày uống 20-40g (Hoặc sắc uống mỗi ngày 1 thang),"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 134"
F044,Ngũ bì ấm,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu",Kiên tỳ lợi thấp,"Chứng phù nể, viêm cầu thận cấp và mạn, tiểu tiện ít, đầy chướng bụng",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 134"
F045,,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu","Lợi thấp, tiêu thạch","Sỏi tiết niệu, phù nể, tiểu ít",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 135"
F046,Bát chính tán,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu","Thanh nhiệt, tả hỏa, thông tiện lợi thủy","Viêm tiết niệu cấp tính, (tiểu tiên buốt, nước tiểu có máu), đại tiện bí kết, sốt nóng",Chế bột. Mỗi ngày dùng 20-30g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 135"
F047,Linh quế truật cam thang,Thuốc lợi thấp (thẩm thấp lợi niệu),"Các chứng bệnh do thấp tà gây nên: phù nề, tê bì, hoặc sỏi tiết niệu, viêm tiết niệu","Kiện tỳ, ôn dương lợi thấp","Tỳ hư gây tê bì, người nặng nề, tiểu biện bí, tiêu chảy, chán ăn",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 135"
F048,Bình vị tán,Thuốc hóa thấp,"Các bệnh do thấp tà ứ trệ ở tỳ vị gây ra các chứng đầy chướng bụng, rối loạn tiêu hóa cấp hoặc mạn tính, nôn mửa",Kiện tỳ hóa thấp hành khí,"Tỳ hư gây đầy bụng chướng bụng, tiêu chảy, chán ăn",Chế bột. Mỗi ngày dùng 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 136"
F049,Hoắc hương chính khí tán,Thuốc hóa thấp,"Các bệnh do thấp tà ứ trệ ở tỳ vị gây ra các chứng đầy chướng bụng, rối loạn tiêu hóa cấp hoặc mạn tính, nôn mửa",Phát tán phong hàn hóa thấp kiện tỳ,"Tiêu chảy, nôn mửa (hoắc loạn-do cảm lạnh) đau bụng",Chế bột. Mỗi ngày dùng 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 136"
F050,Độc hoạt ký sinh thang,Thuốc trừ phong thấp,"Các chứng bệnh phong thấp như: đau thần kinh ngoại biên, đau khớp, viêm khớp, viêm da khớp dạng thấp","Trừ phong thấp, giảm đau, bổ can thận, bổ khí huyết","Chứng phong hàn gây ra:
- Đau thần kinh ngoại biên: thần kinh hông, vai, gáy, cánh tay....
- Đau mỏi cơ, các khớp gối, lưng",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 136"
F051,Quyên tý thang,Thuốc trừ phong thấp,"Các chứng bệnh phong thấp như: đau thần kinh ngoại biên, đau khớp, viêm khớp, viêm da khớp dạng thấp","Trừ phong thấp, ích khí giảm đau","Đau thần kinh ngoại biên, đau cơ vùng vai, lưng gáy. Chân tay co rút",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 137"
F052,Tứ diệu thang,Thuốc trừ phong thấp,"Các chứng bệnh phong thấp như: đau thần kinh ngoại biên, đau khớp, viêm khớp, viêm da khớp dạng thấp",Thanh nhiệt trừ phong thấp,"Viêm khớp cấp tính (có sưng, nóng, đỏ đau) ở các khớp 2 chi dưới",Sắc văn hỏa. Uống nguội. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 137"
F053,,Thuốc trừ phong thấp,"Các chứng bệnh phong thấp như: đau thần kinh ngoại biên, đau khớp, viêm khớp, viêm da khớp dạng thấp","Thanh nhiệt, trừ phong thấp","Viêm khớp cấp tính, viêm đa khớp dạng thấp",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 137-138"
F054,Kiện tỳ hoàn,Thuốc tiêu dao,"Các chứng bệnh do tiêu hóa kém: thức ăn chậm tiêu, đầy trướng bụng, đại tiện phân sống, lỏng","Kiện tỳ, hành khí, tiêu đạo","Tỳ dương hư gây ra chán ăn, thức ăn chậm tiêu, đầy chướng bụng, tiêu chảy",Chế hoàn. Mỗi ngày uống 20-40g,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 138"
F055,Bảo hòa hoàn,Thuốc tiêu dao,"Các chứng bệnh do tiêu hóa kém: thức ăn chậm tiêu, đầy trướng bụng, đại tiện phân sống, lỏng",Thanh nhiệt lợi thấp hóa đàm tiêu đạo,"Tiêu hóa trở trệ do đàm thấp, đầy bụng, chậm tiêu, tiêu chảy",,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 138"
F056,Chân nhân dưỡng tạng thang gia vị,"Thuốc sáp trường, chỉ tả","Các chứng tiêu chảy do tỳ hư, hàn chứng",Bổ khí kiện tỳ sáp trường chĩ tả,"Tả lỵ kéo dài gây ra suy nhược cơ thể, tiêu chảy, dau bụng",Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang,"Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 139"
F057,Đại thừa khí thang,Thuốc hàn hạ,"Các chứng nhiệt táo do âm hư nội nhiệt, sốt cao táo bón, phân khô, đại tiện khó",Tả hạ nhiệt táo,"Táo kết lâu ngày. Sốt cao, táo bón","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: đại tiên thông thì ngừng thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 140"
F058,Tăng dịch thừa khí thang,Thuốc nhuận hạ,"Điều hòa đường tiêu hóa, nhuận tràng","Tả hạ, sinh tân dịch","Đại tiện táo kết lâu ngày, sốt cao háo khát nước, táo bón","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: đại tiên thông thì ngừng thuốc","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 140"
F059,Đai hoàng phu tử chế tân thang,Thuốc ôn hạ,"Các chứng hàn táo, thường do tỳ dương hư gây ra, đại tiện khó, phân không khô (do nhu động ruột giảm)","Thông kinh tán hàn, thông tiện","Dương hư hỏa hư, đại tiện táo kết","Sắc văn hỏa. Uống ấm. Mỗi ngày 1 thang
Chú ý: Phụ nữ có thai không được dùng","Sách: ĐHY.Dược Học Cổ Truyền (NXB Y Học 2002) - Phạm Xuân Sinh,  trang 140"
