pattern_id,pattern_name_vi,pattern_description,tcm_disease_name,etiology_tcm,affected_meridians_organs,eight_principles,modern_diagnostic_findings,clinical_manifestations,data_source
SP011,Thể đàm ứ trở trệ,,Gout (Thống phong),Ngoại nhân và bất nội ngoại nhân.,Bệnh tại cân cơ kinh lạc và tỳ vị.,"Biểu lý tương kiêm, hư trung hiệp thực.","Chẩn đoán gout theo tiêu chuẩn Bennet và Wood (1968) hoặc tiêu chuẩn ILAR/OMERACT (2000). Theo Bennet và Wood (1968): tìm thấy tinh thể natri urat trong dịch khớp hoặc trong các hạt tophi; hoặc có tối thiểu 2 trong các yếu tố gồm: tiền sử hoặc hiện tại có ≥2 đợt sưng đau một khớp với khởi phát đột ngột, đau dữ dội và khỏi hoàn toàn trong vòng 2 tuần, sưng đau khớp bàn ngón chân cái với tính chất tương tự, có hạt tophi, đáp ứng tốt với colchicin (giảm viêm, giảm đau trong 48 giờ). Theo tiêu chuẩn ILAR/OMERACT (2000): có tinh thể urat đặc trưng trong dịch khớp và/hoặc hạt tophi chứa tinh thể urat được chứng minh bằng phương pháp hóa học hoặc kính hiển vi phân cực, và/hoặc có ≥6 trong 15 biểu hiện gồm: viêm tiến triển tối đa trong vòng một ngày, có hơn một đợt viêm khớp cấp, viêm khớp một khớp, đỏ vùng khớp, sưng đau khớp bàn ngón chân cái, viêm khớp bàn ngón chân cái một bên, viêm khớp cổ chân một bên, hạt tophi nhìn thấy được, tăng acid uric trong máu, sưng đau khớp không đối xứng, nang dưới vỏ xương không có hình khuyết xương trên X-quang, cấy vi khuẩn âm tính","Các khớp sưng, nặng thì xung quanh khớp cũng sưng, tái đi tái lại nhiều lần, dai dẳng không dứt, đau nhức nhẹ, có các hạt cứng cạnh khớp, sắc da tím, chất lưỡi bệu, rêu trắng bẩn. Mạch huyền hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 25
SP021,Thể can dương thượng cang,,Tăng huyết áp vô căn (Huyễn vựng),Bất nội ngoại nhân (nội thương),Can dương vượng,"Lý, thực, nhiệt","Chẩn đoán xác định dựa vào đo huyết áp, được coi là tăng huyết áp khi huyết áp tâm thu ≥ 140 mmHg và hoặc huyết áp tâm trương ≥ 90 mmHg, huyết áp được đo ở ít nhất 2 lần khám, mỗi lần đo ít nhất 2 lần, người bệnh nghỉ ngơi trước khi đo 15 phút, phân loại mức độ tăng huyết áp dựa vào trị số huyết áp tâm thu và huyết áp tâm trương, bao gồm huyết áp bình thường cao, tăng huyết áp độ 1, độ 2, độ 3 và tăng huyết áp tâm thu đơn độc, trường hợp huyết áp tâm thu và tâm trương thuộc hai mức khác nhau thì xếp theo mức cao hơn","Hoa mắt, choáng váng, đau đầu, mặt đỏ, hay tức giận, ít ngủ, ngủ hay mê, miệng đắng, chất lưỡi đỏ, rêu lưỡi vàng, mạch huyền sác hoặc huyền hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 45
SP012,Thể can thận lưỡng hư,,Gout (Thống phong),Ngoại nhân phối hợp Bất nội ngoại nhân (nội thương).,Bệnh tại cân cơ kinh lạc và tạng Can Thận.,"Biểu lý tương kiêm, hư.","Chẩn đoán gout theo tiêu chuẩn Bennet và Wood (1968) hoặc tiêu chuẩn ILAR/OMERACT (2000). Theo Bennet và Wood (1968): tìm thấy tinh thể natri urat trong dịch khớp hoặc trong các hạt tophi; hoặc có tối thiểu 2 trong các yếu tố gồm: tiền sử hoặc hiện tại có ≥2 đợt sưng đau một khớp với khởi phát đột ngột, đau dữ dội và khỏi hoàn toàn trong vòng 2 tuần, sưng đau khớp bàn ngón chân cái với tính chất tương tự, có hạt tophi, đáp ứng tốt với colchicin (giảm viêm, giảm đau trong 48 giờ). Theo tiêu chuẩn ILAR/OMERACT (2000): có tinh thể urat đặc trưng trong dịch khớp và/hoặc hạt tophi chứa tinh thể urat được chứng minh bằng phương pháp hóa học hoặc kính hiển vi phân cực, và/hoặc có ≥6 trong 15 biểu hiện gồm: viêm tiến triển tối đa trong vòng một ngày, có hơn một đợt viêm khớp cấp, viêm khớp một khớp, đỏ vùng khớp, sưng đau khớp bàn ngón chân cái, viêm khớp bàn ngón chân cái một bên, viêm khớp cổ chân một bên, hạt tophi nhìn thấy được, tăng acid uric trong máu, sưng đau khớp không đối xứng, nang dưới vỏ xương không có hình khuyết xương trên X-quang, cấy vi khuẩn âm tính","Đau khớp tái đi tái lại, dai dẳng không dứt, lúc nặng lúc nhẹ hoặc cảm giác đau nhức âm ỉ di chuyển giữa các khớp. Sưng nề, hạn chế vận động khớp, thậm chí biến dạng khớp. Kèm theo đau lưng mỏi gối, người mệt mỏi, đau đầu hoa mắt chóng mặt, tâm quý khí đoản, chất lưỡi nhợt rêu trắng. Mạch huyền trầm tế vô lực.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 26
SP013,Thể phong thấp,,Viêm khớp dạng thấp (Chứng tý),"Ngoại nhân (phong, thấp).",,Biểu thực hàn.,"Chẩn đoán viêm khớp dạng thấp theo tiêu chuẩn ACR (1997) khi có ít nhất 4/7 tiêu chuẩn và thời gian triệu chứng viêm khớp ít nhất phải 6 tuần, bao gồm: cứng khớp buổi sáng kéo dài trên 1 giờ, viêm ít nhất 3 trong số 14 khớp (ngón gần bàn tay, bàn ngón tay, cổ tay, khuỷu, gối, cổ chân, bàn ngón chân hai bên), viêm khớp bàn tay (sưng tối thiểu 1 khớp ở ngón gần, bàn ngón tay hoặc cổ tay), viêm khớp đối xứng, hạt dưới da, yếu tố dạng thấp trong huyết thanh dương tính, hình ảnh X-quang điển hình với bào mòn, hình hốc, hình khuyết đầy xương, hẹp khe khớp và mất chất khoáng đầu xương.
Ngoài ra, theo tiêu chuẩn EULAR (2010) áp dụng cho giai đoạn sớm, chẩn đoán khi tổng điểm ≥ 6/10 dựa trên số lượng và loại khớp liên quan, xét nghiệm huyết thanh (RF, Anti-CCP), phản ứng viêm cấp (CRP, máu lắng) và thời gian bị bệnh","Các khớp và cơ nhục đau mỏi, co duỗi khó khăn, cảm giác nặng nề. Đau có tính chất di chuyển và thường xảy ra ở các khớp nhỏ và nhỡ. Trong đợt bệnh tiến triển các khớp sưng đau, bì phù có cảm giác tê bì. Thời kỳ đầu có biểu hiện sợ gió, phát sốt. Chất lưỡi nhợt, rêu lưỡi mỏng trắng hay nhớt dính. Mạch phù hoãn hoặc nhu hoãn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 30
SP014,Thể hàn thấp,,Viêm khớp dạng thấp (Chứng tý),"Ngoại nhân (hàn, thấp).",,Biểu thực hàn.,"Chẩn đoán viêm khớp dạng thấp theo tiêu chuẩn ACR (1997) khi có ít nhất 4/7 tiêu chuẩn và thời gian triệu chứng viêm khớp ít nhất phải 6 tuần, bao gồm: cứng khớp buổi sáng kéo dài trên 1 giờ, viêm ít nhất 3 trong số 14 khớp (ngón gần bàn tay, bàn ngón tay, cổ tay, khuỷu, gối, cổ chân, bàn ngón chân hai bên), viêm khớp bàn tay (sưng tối thiểu 1 khớp ở ngón gần, bàn ngón tay hoặc cổ tay), viêm khớp đối xứng, hạt dưới da, yếu tố dạng thấp trong huyết thanh dương tính, hình ảnh X-quang điển hình với bào mòn, hình hốc, hình khuyết đầy xương, hẹp khe khớp và mất chất khoáng đầu xương.
Ngoài ra, theo tiêu chuẩn EULAR (2010) áp dụng cho giai đoạn sớm, chẩn đoán khi tổng điểm ≥ 6/10 dựa trên số lượng và loại khớp liên quan, xét nghiệm huyết thanh (RF, Anti-CCP), phản ứng viêm cấp (CRP, máu lắng) và thời gian bị bệnh","Các khớp ở chi trên và chi dưới có cảm giác đau, lạnh và nặng nề. Tính chất đau thường cố định, ít di chuyển, ngày đau nhẹ, về đêm đau nặng, thời tiết lạnh, ẩm đau tăng lên, chườm nóng đỡ đau, chỗ đau ít sưng nề. Tại khớp tổn thương thường không nóng đỏ, co duỗi khó khăn. Chất lưỡi nhợt, rêu lưỡi trắng nhớt. Mạch huyền khẩn hay huyền hoãn.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 32
SP015,Thể phong thấp nhiệt,Đợt tiến triển của Viêm khớp dạng thấp,Viêm khớp dạng thấp (Chứng tý),"Ngoại nhân (phong, thấp, nhiệt)",,Biểu thực nhiệt.,"Chẩn đoán viêm khớp dạng thấp theo tiêu chuẩn ACR (1997) khi có ít nhất 4/7 tiêu chuẩn và thời gian triệu chứng viêm khớp ít nhất phải 6 tuần, bao gồm: cứng khớp buổi sáng kéo dài trên 1 giờ, viêm ít nhất 3 trong số 14 khớp (ngón gần bàn tay, bàn ngón tay, cổ tay, khuỷu, gối, cổ chân, bàn ngón chân hai bên), viêm khớp bàn tay (sưng tối thiểu 1 khớp ở ngón gần, bàn ngón tay hoặc cổ tay), viêm khớp đối xứng, hạt dưới da, yếu tố dạng thấp trong huyết thanh dương tính, hình ảnh X-quang điển hình với bào mòn, hình hốc, hình khuyết đầy xương, hẹp khe khớp và mất chất khoáng đầu xương.
Ngoài ra, theo tiêu chuẩn EULAR (2010) áp dụng cho giai đoạn sớm, chẩn đoán khi tổng điểm ≥ 6/10 dựa trên số lượng và loại khớp liên quan, xét nghiệm huyết thanh (RF, Anti-CCP), phản ứng viêm cấp (CRP, máu lắng) và thời gian bị bệnh","Các khớp sưng, nóng, đỏ, đau, xuất hiện đối xứng, cự án, co duỗi khó khăn, vận động, đi lại khó, phát sốt, thích uống nước mát, chườm lạnh các khớp có cảm giác dễ chịu, sắc mặt đỏ, nước tiểu đỏ, đại tiện táo, chất lưỡi đỏ, rêu lưỡi vàng. Mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 32 -33
SP029,Thể thấp nhiệt nội kết,,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Thấp nhiệt,"Bệnh tại tỳ, can, đởm",Lý thực nhiệt,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Chóng mặt, đau nặng đầu, cảm giác tức ngực, phiền nhiệt. Đầy bụng, buồn nôn, mệt mỏi toàn thân, tay chân nặng nề. Đắng miệng, khô miệng, người béo bệu, đại tiện phân nát, cảm giác nóng hậu môn. nước tiểu vàng. Chất lưỡi đỏ, rêu lưỡi vàng nhớt. Mạch hoạt sác",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 55
SP016,Thể can thận hư,"Viêm khớp dạng thấp kéo dài có teo cơ, dính khớp.",Viêm khớp dạng thấp (Chứng tý),"Ngoại nhân (đàm thấp), bất nội ngoại nhân (nội thương).","Can thận hư, tỳ hư. Bệnh tại cân cơ kinh lạc và tạng can thận tỳ.","Biểu lý tương kiêm, hư trung hiệp thực, thiên nhiệt.","Chẩn đoán viêm khớp dạng thấp theo tiêu chuẩn ACR (1997) khi có ít nhất 4/7 tiêu chuẩn và thời gian triệu chứng viêm khớp ít nhất phải 6 tuần, bao gồm: cứng khớp buổi sáng kéo dài trên 1 giờ, viêm ít nhất 3 trong số 14 khớp (ngón gần bàn tay, bàn ngón tay, cổ tay, khuỷu, gối, cổ chân, bàn ngón chân hai bên), viêm khớp bàn tay (sưng tối thiểu 1 khớp ở ngón gần, bàn ngón tay hoặc cổ tay), viêm khớp đối xứng, hạt dưới da, yếu tố dạng thấp trong huyết thanh dương tính, hình ảnh X-quang điển hình với bào mòn, hình hốc, hình khuyết đầy xương, hẹp khe khớp và mất chất khoáng đầu xương.
Ngoài ra, theo tiêu chuẩn EULAR (2010) áp dụng cho giai đoạn sớm, chẩn đoán khi tổng điểm ≥ 6/10 dựa trên số lượng và loại khớp liên quan, xét nghiệm huyết thanh (RF, Anti-CCP), phản ứng viêm cấp (CRP, máu lắng) và thời gian bị bệnh","Người bệnh mắc bệnh lâu ngày, cơ nhục và các khớp đau mỏi, chỗ đau cố định không di chuyển. Các khớp sưng nề, teo cơ và cứng khớp, biến dạng khớp. Tay và chân có cảm giác tê bì và nặng nề. Sắc mặt sạm đen và có thể sưng nề. Ngực đầy tức, chất lưỡi tím sẫm, rêu lưỡi trắng nhớt. Mạch huyền sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 33
SP017,Thể phong hàn,,Hội chứng cổ vai cánh tay (Chứng tý),"Ngoại nhân (phong, hàn)",Đại trường/tiểu trường/tam tiêu,"Biểu, thực, hàn.","Biểu hiện lâm sàng thường gặp là đau vùng cổ, vai và có thể lan xuống tay, kèm theo một số rối loạn cảm giác và/hoặc vận động tại vùng chi phối của rễ dây thần kinh cột sống cổ bị ảnh hưởng. Chẩn đoán xác định tùy thuộc nguyên nhân, mức độ và giai đoạn bệnh, người bệnh có thể có những triệu chứng và hội chứng sau đây: Hội chứng cột sống cổ, hội chứng rễ thần kinh, hội chứng tủy cổ, hội chứng động mạch sống nền, có thể có các rối loạn thần kinh thực vật…","Đau nhức vùng đầu, cổ, vai và ngực lưng, có điểm đau cố định ở cổ, có thể sờ thấy co cơ ở cổ vai gáy, cứng cổ, hạn chế vận động. Đau, tê, nhức tứ chi, có thể có cảm giác nặng và yếu hai chi trên, đau nặng đầu, thích ấm, sợ lạnh, lưỡi nhợt, rêu trắng mỏng. Mạch phù hoãn hoặc sáp.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 37
SP018,Thể phong thấp nhiệt tý,,Hội chứng cổ vai cánh tay (Chứng tý),"Ngoại nhân (phong, thấp, nhiệt).",Đại trường/tiểu trường/tam tiêu.,"Biểu, thực, nhiệt.","Biểu hiện lâm sàng thường gặp là đau vùng cổ, vai và có thể lan xuống tay, kèm theo một số rối loạn cảm giác và/hoặc vận động tại vùng chi phối của rễ dây thần kinh cột sống cổ bị ảnh hưởng. Chẩn đoán xác định tùy thuộc nguyên nhân, mức độ và giai đoạn bệnh, người bệnh có thể có những triệu chứng và hội chứng sau đây: Hội chứng cột sống cổ, hội chứng rễ thần kinh, hội chứng tủy cổ, hội chứng động mạch sống nền, có thể có các rối loạn thần kinh thực vật…","Vùng cổ gáy sưng, nóng, đỏ, đau nhức vùng đầu, cổ, vai và ngực lưng, đau đầu chóng mặt. Sốt cao, khát nước, nước tiểu đỏ, đại tiện táo, chất lưỡi đỏ, rêu lưỡi vàng. Mạch hoạt sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 38-39
SP019,Thể huyết ứ,,Hội chứng cổ vai cánh tay (Chứng tý),Bất nội ngoại nhân (huyết ứ),Đại trường/tiểu trường/tam tiêu,"Biểu, thực","Biểu hiện lâm sàng thường gặp là đau vùng cổ, vai và có thể lan xuống tay, kèm theo một số rối loạn cảm giác và/hoặc vận động tại vùng chi phối của rễ dây thần kinh cột sống cổ bị ảnh hưởng. Chẩn đoán xác định tùy thuộc nguyên nhân, mức độ và giai đoạn bệnh, người bệnh có thể có những triệu chứng và hội chứng sau đây: Hội chứng cột sống cổ, hội chứng rễ thần kinh, hội chứng tủy cổ, hội chứng động mạch sống nền, có thể có các rối loạn thần kinh thực vật…","Đau nhức, tê vùng đầu, cổ, vai và ngực lưng, tê, đau nhói cố định, đau tăng về đêm, ban ngày đỡ đau, đau cự án, co cứng cơ tại chỗ, kích thích khó chịu. Miệng khô, lưỡi tím, có thể có điểm ứ huyết. Mạch huyền hoặc sáp. Thể huyết ứ thường ít xuất hiện đơn thuần mà kết hợp với các thể lâm sàng khác của chứng Tý vùng vai gáy",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 40
SP020,Thể can thận hư,,Hội chứng cổ vai cánh tay (Chứng tý),Bất nội ngoại nhân (nội thương).,"Can, thận hư.","Lý, hư, nhiệt.","Biểu hiện lâm sàng thường gặp là đau vùng cổ, vai và có thể lan xuống tay, kèm theo một số rối loạn cảm giác và/hoặc vận động tại vùng chi phối của rễ dây thần kinh cột sống cổ bị ảnh hưởng. Chẩn đoán xác định tùy thuộc nguyên nhân, mức độ và giai đoạn bệnh, người bệnh có thể có những triệu chứng và hội chứng sau đây: Hội chứng cột sống cổ, hội chứng rễ thần kinh, hội chứng tủy cổ, hội chứng động mạch sống nền, có thể có các rối loạn thần kinh thực vật…","Đau nhức vai gáy và ngực lưng, đau căng đầu, tê bì tay, đau mỏi lưng gối, hoa mắt chóng mặt, nhìn mờ, triều nhiệt, ra mồ hôi trộm, miệng họng khô, lưỡi đỏ ít rêu. Mạch tế sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 41
SP022,Thể can thận âm hư,,Tăng huyết áp vô căn (Huyễn vựng),Bất nội ngoại nhân (nội thương),Can thận âm hư,"Lý, hư, nhiệt.","Chẩn đoán xác định dựa vào đo huyết áp, được coi là tăng huyết áp khi huyết áp tâm thu ≥ 140 mmHg và hoặc huyết áp tâm trương ≥ 90 mmHg, huyết áp được đo ở ít nhất 2 lần khám, mỗi lần đo ít nhất 2 lần, người bệnh nghỉ ngơi trước khi đo 15 phút, phân loại mức độ tăng huyết áp dựa vào trị số huyết áp tâm thu và huyết áp tâm trương, bao gồm huyết áp bình thường cao, tăng huyết áp độ 1, độ 2, độ 3 và tăng huyết áp tâm thu đơn độc, trường hợp huyết áp tâm thu và tâm trương thuộc hai mức khác nhau thì xếp theo mức cao hơn","Mệt mỏi, váng đầu, hay quên, lưng gối đau yếu, ù tai, mất ngủ, nam giới có thể di tinh, lòng bàn tay bàn chân nóng, chất lưỡi đỏ, rêu lưỡi vàng, mạch huyền tế.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 46
SP023,Thể âm dương lưỡng hư,Thường gặp ở người cao tuổi hoặc phụ nữ sau khi hết kinh.,Tăng huyết áp vô căn (Huyễn vựng),Bất nội ngoại nhân (nội thương),Thận âm dương đều hư,"Lý, hư, hàn.","Chẩn đoán xác định dựa vào đo huyết áp, được coi là tăng huyết áp khi huyết áp tâm thu ≥ 140 mmHg và hoặc huyết áp tâm trương ≥ 90 mmHg, huyết áp được đo ở ít nhất 2 lần khám, mỗi lần đo ít nhất 2 lần, người bệnh nghỉ ngơi trước khi đo 15 phút, phân loại mức độ tăng huyết áp dựa vào trị số huyết áp tâm thu và huyết áp tâm trương, bao gồm huyết áp bình thường cao, tăng huyết áp độ 1, độ 2, độ 3 và tăng huyết áp tâm thu đơn độc, trường hợp huyết áp tâm thu và tâm trương thuộc hai mức khác nhau thì xếp theo mức cao hơn","Mệt mỏi, sắc mặt trắng, đau đầu, chóng mặt, ngủ ít, hồi hộp, ù tai, lưng đau, gối mỏi, đại tiện lỏng, sợ lạnh, chân tay lạnh, tiểu đêm nhiều lần, di tinh, liệt dương (nếu ở nam), chất lưỡi hồng nhạt, rêu lưỡi trắng. Mạch huyền tế hoặc trầm tế.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 47
SP024,Thể đàm thấp,"Thường gặp ở người béo phì, người hay ăn đồ béo ngọt",Tăng huyết áp vô căn (Huyễn vựng),Bất nội ngoại nhân (nội thương),Tỳ hư đàm thấp,"Lý, hư","Chẩn đoán xác định dựa vào đo huyết áp, được coi là tăng huyết áp khi huyết áp tâm thu ≥ 140 mmHg và hoặc huyết áp tâm trương ≥ 90 mmHg, huyết áp được đo ở ít nhất 2 lần khám, mỗi lần đo ít nhất 2 lần, người bệnh nghỉ ngơi trước khi đo 15 phút, phân loại mức độ tăng huyết áp dựa vào trị số huyết áp tâm thu và huyết áp tâm trương, bao gồm huyết áp bình thường cao, tăng huyết áp độ 1, độ 2, độ 3 và tăng huyết áp tâm thu đơn độc, trường hợp huyết áp tâm thu và tâm trương thuộc hai mức khác nhau thì xếp theo mức cao hơn","Đau đầu, nặng đầu, hoa mắt, chóng mặt, ngực tức, bụng đầy, buồn nôn, ăn ít, mệt mỏi, ngủ li bì, chất lưỡi nhợt bệu, rêu lưỡi trắng, ánh vàng, mạch nhu hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 48
SP025,Thể tỳ hư đàm thấp,,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Bất nội ngoại nhân (nội thương),Bệnh tại tạng tỳ (tỳ hư đàm thấp),Lý hư trung hiệp thực,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Người thường béo bệu, nặng nề, mệt mỏi. Ăn kém, không muốn ăn, bụng đầy, đại tiện phân nát. Rêu lưỡi trắng dày, nhớt, lưỡi bệu, có vết hằn răng. Mạch trầm hoạt.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 52
SP026,Thể tỳ thận dương hư,Thường gặp ở người cao tuổi,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Bất nội ngoại nhân (nội thương),"Bệnh tại tỳ, thận (tỳ thận dương hư)",Lý hư hàn,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Người cảm giác nặng nề, đầy chướng bụng, thừa cân, béo phì. Người lạnh, chân tay lạnh, sợ lạnh, sắc mặt nhợt, lưng gối đau mỏi, đại tiện nát, tiểu trong dài. Rêu lưỡi trắng dày, nhớt, lưỡi bệu, có vết hằn răng. Mạch trầm nhược",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 53
SP027,Thể can thận âm hư,,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Bất nội ngoại nhân (nội thương),"Bệnh tại can, thận (can thận âm hư)",Lý hư nhiệt,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Váng đầu, chóng mặt, hay quên, mất ngủ, ù tai, miệng họng khô, lưng đau gối mỏi, tóc bạc, răng rụng, tiểu đêm. Rêu lưỡi vàng dày. Mạch tế sác.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 54
SP028,Thể can uất tỳ hư,,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Bất nội ngoại nhân (nội thương),"Bệnh tại can, tỳ (can uất tỳ hư)",Lý hư trung hiệp thực,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Đau 2 bên mạng sườn từng cơn, vị trí không cố định; đau đầu, chóng mặt, tinh thần uể oải, ăn kém, tính khí thất thường, hay thở dài. Đại tiện lỏng, ở phụ nữ có thể gặp rối loạn kinh nguyệt, bầu vú căng trướng và đau. Chất lưỡi bệu, rêu lưỡi mỏng, trắng, nhớt. Mạch huyền.",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 54-55
SP030,Thể khí trệ huyết ứ,,Rối loạn chuyển hóa Lipoprotein và tình trạng tăng lipid máu khác (Chứng đàm),Bất nội ngoại nhân,,Lý thực,"Chẩn đoán rối loạn lipid máu dựa trên xét nghiệm lipid máu, được xác định khi thỏa mãn ít nhất một trong các tiêu chuẩn gồm cholesterol toàn phần ≥ 5,2 mmol/l, LDL C ≥ 3,4 mmol/l, triglycerid ≥ 1,7 mmol/l hoặc HDL C < 1,0 mmol/l.","Đau nhói vùng ngực, có thể lan ra sau vùng lưng trên, đau vùng thượng vị (người bệnh thường có kèm bệnh động mạch vành, thiếu máu cơ tim), chóng mặt, đau nhức mắt. Chất lưỡi tím, có thể có điểm ứ huyết. Mạch huyền sáp",HƯỚNG DẪN CHẨN ĐOÁN VÀ ĐIỀU TRỊ BỆNH THEO Y HỌC CỔ TRUYỀN KẾT HỢP Y HỌC CỔ TRUYỀN VÀ Y HỌC HIỆN ĐẠI - Trang 56
